source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,primary_rel,is_bridge
31407,450412,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
31407,512425,KIN,K_OTHER,孫,directed,,,0.7,inferred,,243,KIN,1,1
31413,3915,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31413,31407,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31413,31407,KIN,K_PARENT,父,directed,,,1.0,primary,textid=24309,75,KIN,0,1
31453,19244,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,1
31453,31407,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,1
31453,32534,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31462,3915,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31462,19244,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,1
31462,31407,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31542,31322,LITERARY,LI_BIOGRAPHY,傳記作者為Y,directed,699,,0.4,inferred,,132,P,1,1
31542,31322,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31542,31560,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,新唐書,9,M,1,1
31542,31560,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31542,447292,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,1
31552,3915,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
31552,31560,COLLEAGUE,CL_TONGLIAO,同僚,undirected,,,0.8,primary,舊唐書,197,M,1,1
31552,447292,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,1
31558,13060,KIN,K_AFFINAL,岳父,directed,,,0.7,inferred,,76,KIN,0,1
31558,92452,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,1
31560,11605,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,0
31560,19242,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
31560,24645,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
31560,31082,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
31560,31110,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,0
31560,31143,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,0
