source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,source_table,c_source,c_pages,c_sequence,c_text_title,orig_personid,orig_assoc_id
93832,93080,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1483,,[n/a],93080,93832
93832,93080,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1483,,[n/a],93832,93080
93832,94227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1481,,[n/a],93832,94227
93832,94227,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1481,,[n/a],94227,93832
93832,95071,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1484,,[n/a],93832,95071
93832,95071,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1484,,[n/a],95071,93832
93952,3332,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,338,,[n/a],3332,93952
93952,3332,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,338,,[n/a],93952,3332
93952,13575,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,331,,[n/a],13575,93952
93952,13575,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,331,,[n/a],93952,13575
93952,22469,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,334,,[n/a],22469,93952
93952,22469,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,334,,[n/a],93952,22469
93952,32822,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,335,,[n/a],32822,93952
93952,32822,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,335,,[n/a],93952,32822
93952,33859,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,337,,[n/a],33859,93952
93952,33859,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,337,,[n/a],93952,33859
93952,94227,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,人名權威資料（中央研究院歷史語言研究所）,9,M,ASSOC_DATA,9602,18538,,[n/a],93952,94227
93952,94227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,331,,[n/a],93952,94227
93952,94227,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,人名權威資料（中央研究院歷史語言研究所）,9,M,ASSOC_DATA,9602,18538,,[n/a],94227,93952
93952,94227,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,331,,[n/a],94227,93952
93952,94595,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,333,,[n/a],93952,94595
93952,94595,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,333,,[n/a],94595,93952
93952,445983,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,338,,[n/a],93952,445983
93952,445983,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,338,,[n/a],445983,93952
93956,3130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,344,,[n/a],3130,93956
93956,3130,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,344,,[n/a],93956,3130
93956,26935,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,348,,[n/a],26935,93956
93956,26935,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,348,,[n/a],93956,26935
93956,31407,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,343,,[n/a],31407,93956
93956,31407,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,343,,[n/a],93956,31407
93956,32174,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,342,,[n/a],32174,93956
